Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Lentil,Northern Highlands,rainfed,1,11,30,12,no,70-120,kg/ha,150-160,Days,1,4,15,5,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan",rainfed,,,,,
Chick-pea,Northern Highlands,"clay soil, rainfed, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",1,3,1,4,no,40-60,kg/ha,150-165,Days,1,7,1,8,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","clay soil, rainfed, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",,,,,
Bean,Northern Highlands,irrigated,15,2,30,3,no,40-60,kg/ha,55-65,Days,15,4,30,5,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan",irrigated,,,,,
"Bean, broad",Northern Highlands,"All type of soil except saline and alkali soil, rainfed, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","Organic fertilizers can be added to the soil before planting. All type of soil except saline and alkali soil, rainfed, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",,,,,
"Pea, dry",Northern Highlands,rainfed,1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan",rainfed,,,,,
Mung bean,Northern Highlands,rainfed,15,3,,,no,20,kg/ha,50-60,Days,1,6,,,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan",rainfed,,,,,
Lentil,Middle Highlands,rainfed,1,11,30,12,no,70-120,kg/ha,150-160,Days,1,4,15,5,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba",rainfed,,,,,
Chick-pea,Middle Highlands,"clay soil, rainfed, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",1,3,1,4,no,40-60,kg/ha,150-165,Days,1,7,1,8,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","clay soil, rainfed, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",,,,,
Bean,Middle Highlands,"irrigated, CWR (m3 water/du.) =178-205,",15,2,30,3,no,40-60,kg/ha,55-65,Days,15,4,30,5,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","irrigated, CWR (m3 water/du.) =178-205,",,,,,
"Bean, broad",Middle Highlands,"All type of soil except saline and alkali soil, rainfed, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Organic fertilizers can be added to the soil before planting. All type of soil except saline and alkali soil, rainfed, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",,,,,
"Pea, dry",Middle Highlands,rainfed,1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba",rainfed,,,,,
Mung bean,Middle Highlands,rainfed,1,4,15,5,no,20,kg/ha,150-160,Days,15,9,15,10,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba",rainfed,,,,,
Lentil,Southern Highlands,rainfed,1,11,30,12,no,70-120,kg/ha,150-160,Days,1,4,15,5,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)",rainfed,,,,,
Chick-pea,Southern Highlands,"clay soil, rainfed, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",1,3,1,4,no,40-60,kg/ha,150-165,Days,1,7,1,8,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","clay soil, rainfed, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",,,,,
Bean,Southern Highlands,"irrigated, CWR (m3 water/du.) =178-205,",15,2,30,3,no,40-60,kg/ha,55-65,Days,15,4,30,5,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","irrigated, CWR (m3 water/du.) =178-205,",,,,,
"Bean, broad",Southern Highlands,"All type of soil except saline and alkali soil, rainfed, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Organic fertilizers can be added to the soil before planting. All type of soil except saline and alkali soil, rainfed, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",,,,,
"Pea, dry",Southern Highlands,rainfed,1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)",rainfed,,,,,
Mung bean,Southern Highlands,rainfed,1,4,,,no,20,kg/ha,50-60,Days,15,5,,,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)",rainfed,,,,,
